ID;FictionWork;FictionWorkAuthor;FictionWorkYear;FirstFilmAdaptation;FilmAdaptationYear
1321;Green Mansions;William Henry Hudson;1904;Green Mansions;1959
1322;The Green Mile;Stephen King;1996;The Green Mile;1999
1323;The Green Years;A. J. Cronin;1944;The Green Years;1946
1324;The Greengage Summer;Rumer Godden;1958;The Greengage Summer;1961
1325;Grendel;John Gardner;1971;Grendel Grendel Grendel;1981
1326;The Grifters;Jim Thompson;1963;The Grifters;1990
1327;The Grizzly King;James Oliver Curwood;1916;The Bear (French: L'Ours);1988
1328;Gros câlin (1974), Romain Gary;Romain Gary (as Émile Ajar);1974;Gros-Câlin;1979
1329;The Grotesque;Patrick McGrath;1989;The Grotesque (1995);1995
1330;The Group;Mary McCarthy;1963;The Group;1966
1331;The Guilty Head;Romain Gary;1969;Les faussaires;1994
1332;Gulliver's Travels;Jonathan Swift;1726;Gulliver's Travels (German: Gullivers Reisen);1924
1347;The Guns of Navarone;Alistair MacLean;1957;The Guns of Navarone;1961
1348;Guns of the Timberland;Louis L'Amour;1955;Guns of the Timberland;1960
1349;The Gypsy Moths (1955), James William Drought;James William Drought (as James Drought);1955;The Gypsy Moths;1969
1350;H.M. Pulham, Esquire;John P. Marquand;1942;H.M. Pulham, Esq.;1941
1351;Hababam Sınıfı;NaN;NaN;Hababam Sınıfı;1975
1354;Hair from Above (Dutch: Haar van Boven);Albert Mol;1969;Business Is Business;1971
1355;A Hall of Mirrors;Robert Stone;1967;WUSA;1970
1356;The Hamlet;William Faulkner;1940;The Long, Hot Summer;1958
1357;Hammers Over the Anvil;Alan Marshall;1952;Hammers Over the Anvil;1991
1358;Hana no Furu Gogo (花の降る午後);Teru Miyamoto;1988;Hana no Furu Gogo;1989
1359;The Handmaid's Tale;Margaret Atwood;1985;The Handmaid's Tale;1990
1360;Hannibal;Thomas Harris;1999;Hannibal;2001
1361;Happy Land;MacKinlay Kantor;1943;Happy Land;1943
1362;Al-Haram (Arabic: الحرام, Al-Haram);Yusuf Idris;1959;The Sin;1965
1363;Hard to Be a God (Russian: Трудно быть богом);Arkady and Boris Strugatsky;1964;Hard to Be a God;1989
1365;The Harder They Fall;Budd Schulberg;1946;The Harder They Fall;1956
1366;Harry Black;David Walker;1956;Harry Black;1958
1367;Harry Potter;J. K. Rowling;1997;Harry Potter and the Philosopher's Stone;2001
1375;Hart's War;John Katzenbach;1999;Hart's War;2002
1376;Haruchika (ハルチカ);NaN;NaN;Haruta & Chika;2017
1377;The Harvest (Russian: Жатва);Galina Nikolayeva;1950;The Return of Vasili Bortnikov;1953
1378;The Harvey Girls;Samuel Hopkins Adams;1942;The Harvey Girls;1946
1379;Hating Alison Ashley;Robin Klein;1984;Hating Alison Ashley;2005
1380;Hatter's Castle;A. J. Cronin;1931;Hatter's Castle;1942
1381;Haunted Harbor (1944), Ewart Adamson;Ewart Adamson (as Dayle Douglas);1944;Haunted Harbor;1944
1382;The Haunting of Hill House;Shirley Jackson;1959;The Haunting;1963
1384;Hawaii;James A. Michener;1959;Hawaii;1966
1386;Hawk of the Wilderness;William L. Chester;1936;Hawk of the Wilderness;1938
1387;He Ran All the Way;Sam Ross;1948;He Ran All the Way;1951
1388;Header;Edward Lee;1995;Header;2006
1389;Headhunters;Jules Bass;2001;Monte Carlo;2011
1390;Hear the Wind Sing (風の歌を聴け, Kaze no uta o kike);Haruki Murakami;1979;Hear the Wind Sing;1981
1391;The Heart of the Matter;Graham Greene;1948;The Heart of the Matter;1953
1393;The Heaven Sword and Dragon Saber (Chinese: 倚天屠龙记);Jin Yong;1961;Story of the Sword and the Sabre;NaN
1397;Heidi;NaN;NaN;Heidi;1937
1412;Hell Has No Limits (Spanish: El lugar sin límites);José Donoso;1966;The Place Without Limits;1978
1413;Hell House;Richard Matheson;1971;The Legend of Hell House;1973
1414;Heller with a Gun;Louis L'Amour;1954;Heller in Pink Tights;1960
1415;The Help;Kathryn Stockett;2009;The Help;2011
1416;The Heritage of the Desert;Zane Grey;1910;Heritage of the Desert;1924
1419;The High and the Mighty;Ernest K. Gann;1953;The High and the Mighty;1954
1420;High Fidelity;Nick Hornby;1995;High Fidelity;2000
1421;The History of Mr. Polly;H. G. Wells;1910;The History of Mr. Polly;1949
1422;The History of Tom Jones, a Foundling;Henry Fielding;1749;Tom Jones;1917
1426;A History of Violence;John Wagner;1997;A History of Violence;2005
1427;The Hitchhiker's Guide to the Galaxy;Douglas Adams;1979;The Hitchhiker's Guide to the Galaxy;2004
1428;The Hobbit;J. R. R. Tolkien;1937;The Hobbit;1977
1433;The Holcroft Covenant;Robert Ludlum;1978;The Holcroft Covenant;1985
1434;The Holy Innocents;Gilbert Adair;1988;The Dreamers;2003
1435;Hombre;Elmore Leonard;1961;Hombre;1967
1436;The Home and the World (Bengali: ঘরে বাইরে, Ghôre Baire);Rabindranath Tagore;1916;Ghare Baire;1984
1437;The Honorary Consul;Graham Greene;1973;The Honorary Consul;1983
1438;Hopalong Cassidy;NaN;NaN;The Orphan;1920
1459;Horseman, Pass By;Larry McMurtry;1961;Hud;1963
1460;The Host;Stephenie Meyer;2008;The Host;2013
1461;The Hot Rock;Donald E. Westlake;1970;The Hot Rock;1972
1462;The Hound of Florence (German: Der Hund von Florenz);Felix Salten;1923;The Shaggy Dog;1959
1467;The Hound of the Baskervilles;NaN;NaN;The Hound of the Baskervilles (German: Der Hund von Baskerville);1914
1483;The Hour Before the Dawn;W. Somerset Maugham;1942;The Hour Before the Dawn;1944
1484;The Hours;Michael Cunningham;1998;The Hours;2002
1485;The House of the Lost on the Cape (岬のマヨイガ, Misaki no Mayoiga);Sachiko Kashiwaba;2015;The House of the Lost on the Cape;2021
1486;The House of the Spirits (Spanish: La casa de los espíritus);Isabel Allende;1982;The House of the Spirits;1993
1487;The House Without a Key;Earl Derr Biggers;1925;The House Without a Key;1926
1488;The Housekeeper and the Professor (博士の愛した数式, hakase no ai shita suushiki);Yōko Ogawa;2003;The Professor's Beloved Equation;2006
1489;How Green Was My Valley;Richard Llewellyn;1939;How Green Was My Valley;1941
1490;Howards End;E. M. Forster;1910;Howards End;1992
1491;The Howling;Gary Brandner;1977;The Howling;1981
1499;The Human Condition (人間の條件, Ningen no jōken);Junpei Gomikawa;1958;No Greater Love (第一部 純愛篇／第二部 激怒篇);1959
1502;The Human Stain;Philip Roth;2000;The Human Stain;2003
1503;The Hunchback of Notre-Dame (French: Notre-Dame de Paris. 1482);Victor Hugo;1831;Esmeralda;1905
1523;The Hundred and One Dalmatians;Dodie Smith;1956;One Hundred and One Dalmatians;1961
1528;The Hunger Games;NaN;NaN;The Hunger Games;2012
1533;The Hunt for Red October;Tom Clancy;1984;The Hunt for Red October;1990
1534;The Hunter;Donald E. Westlake;1962;Point Blank;1967
1537;The Hustler;Walter Tevis;1959;The Hustler;1961
1538;I Am Legend;Richard Matheson;1954;The Last Man on Earth;1964
1542;I Am Number Four;Pittacus Lore;2010;I Am Number Four;2011
1543;I Know What You Did Last Summer;Lois Duncan;1973;I Know What You Did Last Summer;1997
1546;I Love You, Beth Cooper;Larry Doyle;2007;I Love You, Beth Cooper;2009
1547;I Want to Eat Your Pancreas (君の膵臓をたべたい, Kimi no Suizō o Tabetai);Yoru Sumino;2014;Let Me Eat Your Pancreas;2017
1549;Ice Station Zebra;Alistair MacLean;1963;Ice Station Zebra;1968
1550;If I Die Before I Wake;Sherwood King;1938;The Lady from Shanghai;1947
1551;The IPCRESS File;Len Deighton;1962;The Ipcress File;1965
1552;The Illustrated Man;Ray Bradbury;1951;The Illustrated Man;1968
1553;I'm Thinking of Ending Things;Iain Reid;2016;I'm Thinking of Ending Things;2020
1554;Imagining Argentina;Lawrence Thornton;1987;Imagining Argentina;2003
1555;Immortality, Inc.;Robert Sheckley;1959;Freejack;1992
1556;An Imperfect Lover;Robert Gore-Browne;1928;Cynara;1932
1557;In Country;Bobbie Ann Mason;1985;In Country;1989
1558;The Incredible Journey;Sheila Burnford;1961;The Incredible Journey;1963
1561;Incubus;Ray Russell;1976;The Incubus;1981
1562;The Innocent;Ian McEwan;1990;The Innocent;1993
1563;In Search of the Castaways (French: Les Enfants du capitaine Grant) (1867–1868) (serial), (1873);NaN;NaN;The Children of Captain Grant (Russian: Дети капитана Гранта, romanized: Deti kapitana Granta);1936
1565;Instruct My Sorrows;Clare Jaynes;1942;My Reputation;1946
1566;Interview with the Vampire;Anne Rice;1976;Interview with the Vampire;1994
1567;The Investigation;Dorothy Uhnak;1977;Kojak: The Price of Justice (1987);1987
1568;The Invisible Man;H. G. Wells;1897;The Invisible Man;1933
1577;In the Heat of the Night;John Bell;1965;In the Heat of the Night;1967
1580;In This House of Brede;Rumer Godden;1969;In This House of Brede (1975);1975
1581;The Iron Trail;Rex Beach;1913;The Iron Trail;1921
1582;Ironweed;William Kennedy;1983;Ironweed;1987
1583;The Island;Peter Benchley;1979;The Island;1980
1584;Island in the Sky;Ernest K. Gann;1944;Island in the Sky;1953
1585;The Island of Doctor Moreau;H. G. Wells;1896;Island of Lost Souls;1932
1590;Islands in the Stream;Ernest Hemingway;1970;Islands in the Stream;1977
1591;It;Stephen King;1986;It Chapter One;2017
1593;It Can't Happen Here;Sinclair Lewis;1935;Shadow on the Land (a.k.a. United States: It Can't Happen Here) (1968);1968
1594;Ivanhoe;Sir Walter Scott;1820;Ivanhoe;NaN
1602;Jack in the Box;William Kotzwinkle;1980;Book of Love;1990
1603;Jack's Return Home;Ted Lewis;1970;Get Carter;1971
1606;Jane Eyre;Charlotte Brontë;1847;Jane Eyre;1910
1619;Japan Sinks (日本沈没, Nippon Chinbotsu);Sakyo Komatsu;1973;Submersion of Japan;1973
1621;Jassy;Norah Lofts;1944;Jassy;1947
1622;Jaws;Peter Benchley;1974;Jaws;1975
1626;Jean le Bleu;Jean Giono;1932;The Baker's Wife (French: La femme du boulanger);1938
1627;The Jewel of Seven Stars;Bram Stoker;1903;Blood from the Mummy's Tomb;1971
1630;Jim Kane;Joseph P. Brown;1970;Pocket Money;1972
1631;Jimmy the Kid;Donald E. Westlake;1967;Come ti rapisco il pupo;1976
1634;Jitter Joint;Howard Swindle;1999;D-Tox;2002
1635;Johnny Tremain;Esther Forbes;1944;Johnny Tremain;1957
1636;Josepha;Christopher Frank;1981;Josepha;1982
1637;A Journey to Matecumbe;Robert Lewis Taylor;1961;Treasure of Matecumbe;1976
1638;Journey to Shiloh;Henry Wilson Allen;1960;Journey to Shiloh;1968
1639;Journey to the Center of the Earth (French: Voyage au centre de la Terre);Jules Verne;1864;Journey to the Center of the Earth;1959
1647;Journey to the West (Chinese: 西遊記, Xī Yóu Jì);NaN;NaN;"The Cave of the Silken Web (盤絲洞; Pan Si Dong)";1927
1687;Journey Under the Midnight Sun (白夜行, Byakuyakō);Keigo Higashino;1999;"White Night (Korean: 백야행: 하얀 어둠 속을 걷다; RR: Baek-yahaeng: Ha-yan Eodum Sok-eul Geotda)";2009
1689;The Joy Luck Club;Amy Tan;1989;The Joy Luck Club;1993
1690;Jude the Obscure;Thomas Hardy;1895;Jude;1996
1691;The Judgment (Thai: คำพิพากษา);Chart Korbjitti;1981;Ai-Fak (Thai: ไอ้ฟัก);2004
1692;A Judgement in Stone;Ruth Rendell;1977;La Cérémonie;1995
1693;The Juggler;Donald E. Westlake;1965;Made in U.S.A.;1966
1694;The Jungle;Upton Sinclair;1906;The Jungle;1914
1695;The Jungle Books;Rudyard Kipling;1894;Elephant Boy;1937
1707;Jungle Girl;Edgar Rice Burroughs;1932;Jungle Girl;1941
1709;Jupiter Laughs;A. J. Cronin;1940;Shining Victory (1941)I Seek You (German: Ich suche Dich);1941
1710;Jurassic Park;Michael Crichton;1990;Jurassic Park;1993
1716;Justine;Lawrence Durrell;1957;Justine;1969
1717;Kami no Tsuki;Mitsuyo Kakuta;2012;Pale Moon;2014
1718;Kenka erejii;Takashi Suzuki;1963;Fighting Elegy;1966
1719;The Key (鍵, Kagi);Jun'ichirō Tanizaki;1956;Odd Obsession;1959
1722;The Keys of the Kingdom;A. J. Cronin;1941;The Keys of the Kingdom;1944
1723;Kidnapped;Robert Louis Stevenson;1886;Kidnapped;1917
1729;King Solomon's Mines;Sir H. Rider Haggard;1885;Allan Quatermain;1919
1739;The King's Damosel;Vera Chapman;1976;Quest for Camelot;1998
1740;King's Ransom;Evan Hunter;1959;High and Low;1963
1741;Kings Go Forth;Joe David Brown;1956;Kings Go Forth;1958
1742;Kings Row;Henry Bellamann;1940;Kings Row;1942
1743;The Killer Angels;Michael Shaara;1974;Gettysburg;1993
1744;The Killer Inside Me;Jim Thompson;1952;The Killer Inside Me;1976
1746;Kipps;H. G. Wells;1905;Kipps;1921
1749;Kirishima, bukatsu yamerutteyo;Ryo Asai;2010;The Kirishima Thing;2012
1750;Kiss of the Spider Woman;Manuel Puig;1976;Kiss of the Spider Woman;1985
1751;Kiss the Girls;James Patterson;1995;Kiss the Girls;1997
1752;Kiss Tomorrow Goodbye;Horace McCoy;1948;Kiss Tomorrow Goodbye;1950
1753;Kitchen (キッチン, Kitchin);Banana Yoshimoto;1988;Kitchen;1989
1755;The Kites (French: Les Cerfs-volants);Romain Gary;1980;Les cerfs-volants;2007
1756;The Klansman;William Bradford Huie;1967;The Klansman;1974
1757;Kokoro (こころ);Natsume Sōseki;1914;The Heart;1955
1759;The Kolchak Papers;NaN;NaN;The Night Stalker;1972
1763;Kowloon Tong;Paul Theroux;1997;Chinese Box;1997
1764;L.A. Confidential;James Ellroy;1990;L.A. Confidential;1997
1765;Lad, A Dog;Albert Payson Terhune;1919;Lad, A Dog;1963
1766;Lady Audley's Secret;Mary Elizabeth Braddon;1862;Lady Audley's Secret;1912
1770;The Lady in Cement;Marvin H. Albert;1961;Lady in Cement;1968
1771;Lady L;Romain Gary;1958;Lady L;1965
1772;The Lady of the Camellias (French: La Dame aux Camélias);Alexandre Dumas, fils;1848;Camille;1909
1794;The Lair of the White Worm;Bram Stoker;1911;The Lair of the White Worm;1988
1795;La lampe dans la fenêtre;Pauline Cadieux;1972;Cordélia;1980
1796;The Land That Time Forgot;Edgar Rice Burroughs;1918;The Land That Time Forgot;1975
1799;The Lands of Risk (Portuguese: As Terras Do Risco);Agustina Bessa-Luís;1994;The Convent;1995
1800;Lassie Come-Home;Eric Knight;1940;Lassie Come Home;1943
1810;The Last Days of Pompeii;Edward Bulwer-Lytton;1834;The Last Days of Pompeii (Italian: Gli ultimi giorni di Pompei);1908
1816;The Last Detail;Darryl Ponicsan;1970;The Last Detail;1973
1817;The Last Hunt;Milton Lott;1954;The Last Hunt;1956
1818;Last of the Curlews;Fred Bodsworth;1954;Last of the Curlews;1972
1819;The Last of the Duanes;NaN;NaN;The Last of the Duanes;1919
1824;The Last of the Mohicans;James Fenimore Cooper;1826;Leather Stocking;1909
1836;The Last Picture Show;Larry McMurtry;1966;The Last Picture Show;1971
1837;The Last Ride;Thomas Eidson;1996;The Missing;2003
1838;The Last Song;Nicholas Sparks;2009;The Last Song;2010
1839;Last Stand at Papago Wells;Louis L'Amour;1957;Apache Territory;1958
1840;Last Stand at Saber River;Elmore Leonard;1959;Last Stand at Saber River;1997
1841;The Last Thing He Wanted;Joan Didion;1996;The Last Thing He Wanted;2020
1842;The Last Unicorn;Peter S. Beagle;1968;The Last Unicorn;1982
1843;The Late George Apley;John P. Marquand;1937;The Late George Apley;1947
1844;The Laughing Cavalier;Baroness Orczy;1913;The Laughing Cavalier;1917
1845;Laura;NaN;NaN;Laura;1944
1848;Law and Order;Dorothy Uhnak;1973;Law and Order;1976
1849;The Law at Randado;Elmore Leonard;1954;Border Shootout;1990
1850;Law Man;Lauran Paine;1955;The Quiet Gun;1957
1851;Lawyer Man;Max Trell;1932;Lawyer Man;1933
1852;Lay This Laurel;Lincoln Kirstein;1973;Glory;1989
1853;Layer Cake;J. J. Connolly;2000;Layer Cake;2004
1854;Leaving Cheyenne;Larry McMurtry;1963;Lovin' Molly;1974
1855;The Ledger;Dorothy Uhnak;1970;Get Christie Love!;1974
1856;Left Behind;Tim LaHaye and Jerry B. Jenkins;1995;Left Behind: The Movie;2000
1860;The Legend of the Condor Heroes (Chinese: 射鵰英雄傳, Shè Diāo Yīng Xióng Zhuàn);Jin Yong;1957;Story of the Vulture Conqueror (Chinese: 射鵰英雄傳);NaN
1867;Legend of the Galactic Heroes (Japanese: 銀河英雄伝説, Hepburn: Ginga Eiyū Densetsu);Yoshiki Tanaka;1982;Legend of the Galactic Heroes: My Conquest is the Sea of Stars;1988
1873;Legion;William Peter Blatty;1983;The Exorcist III;1990
1874;Lemonade Mouth;Mark Peter Hughes;2007;Lemonade Mouth;2011
1875;The Leopard;Giuseppe Tomasi di Lampedusa;1958;The Leopard;1963
1876;Less than Zero;Bret Easton Ellis;1985;Less than Zero;1987
1877;Let Me Count the Ways;Peter De Vries;1965;How Do I Love Thee?;1970
1878;Let the Right One In (Swedish: Låt den rätte komma in);John Ajvide Lindqvist;2004;Let the Right One In;2008
1880;A Letter to Five Wives;John Klempner;1945;A Letter to Three Wives;1949
1882;The Life and Opinions of Tristram Shandy, Gentleman;Laurence Sterne;1759;A Cock and Bull Story;2006
1883;The Life Before Us (French: La vie devant soi) (1975), Romain Gary;Romain Gary (as Émile Ajar);1975;Madame Rosa;1977
1886;Life of Pi ;Yann Martel;2001;Life of Pi;2012
1887;Lift to the Scaffold (French: Ascenseur pour l'échafaud);Noël Calef;1956;Elevator to the Gallows;1958
1888;The Light in the Forest;Conrad Richter;1953;The Light in the Forest;1958
1889;The Light of Western Stars;Zane Grey;1914;The Light of Western Stars;1918
1893;Like a Fire is Burning;Gerald N. Lund;1991;The Work and the Glory: American Zion;2005
1894;Like Water for Chocolate (Spanish: Como agua para chocolate);Laura Esquivel;1989;Like Water for Chocolate;1992
1895;The Lincoln Lawyer;Michael Connelly;2005;The Lincoln Lawyer;2011
1896;A Lion Is in the Streets;Adria Locke Langley;1945;A Lion Is in the Streets;1953
1897;Lisa and Lottie (German: Das doppelte Lottchen);Erich Kästner;1949;Two Times Lotte;1950
1914;Little Caesar;W. R. Burnett;1929;Little Caesar;1931
1917;Little Dorrit;NaN;NaN;Little Dorrit;1913
1921;The Little Drummer Girl;John le Carré;1983;The Little Drummer Girl;1984
1922;The Little White Horse;Elizabeth Goudge;1946;The Secret of Moonacre;2009
1923;Live and Let Die;Ian Fleming;1954;Live and Let Die;1973
1924;Live Flesh;Ruth Rendell;1986;Live Flesh (Spanish: Carne trémula);1997
1925;The Living and the Dead (French: D'entre les morts);Pierre Boileau and Thomas Narcejac;1954;Vertigo;1958
1926;The Lizard's Tail;Marc Brandell;1979;The Hand;1981
1927;Loaded;Christos Tsiolkas;1995;Head On;1998
1928;Logan's Run;William F. Nolan and George Clayton Johnson;1967;Logan's Run;1976
1929;Lolita;Vladimir Nabokov;1955;Lolita;1962
1931;The Lone Star Ranger;Zane Grey;1915;The Lone Star Ranger;1919
1935;Lonely Castle in the Mirror (かがみの孤城, Kagami no Kojō);Mizuki Tsujimura;2017;Lonely Castle in the Mirror;2022
1936;The Long Goodbye;Raymond Chandler;1953;The Long Goodbye;1973
1937;Longarm;Lou Cameron;1978;Longarm;1987
1938;Looking for Trouble;Virginia Spencer Cowles;1941;Ladies Courageous;1944
1939;The Looters;John H. Reese;1968;Charley Varrick;1973
1940;Lord Jim;NaN;NaN;Lord Jim;1925
1942;Lord of the Flies;William Golding;1954;Lord of the Flies;1963
1945;The Lord of the Rings;J. R. R. Tolkien;1954;J. R. R. Tolkien's The Lord of the Rings;1978
1950;The Lords of Discipline;Pat Conroy;1980;The Lords of Discipline;1983
1951;Lost Horizon;James Hilton;1933;Lost Horizon;1937
1953;The Lost Ones;Donald G. Payne;1961;The Island at the Top of the World;1974
1954;A Lost Paradise (失楽園, Shitsurakuen);Junichi Watanabe;1997;Lost Paradise;1997
1955;The Lost World;Arthur Conan Doyle;1912;The Lost World;1925
1962;The Lost World;Michael Crichton;1995;The Lost World: Jurassic Park;1997
1963;A Love in Germany (German: Eine Liebe in Deutschland);Rolf Hochhuth;1978;A Love in Germany;1983
1964;Love Story;Erich Segal;1970;Love Story;1970
1965;The Loved One;Evelyn Waugh;1948;The Loved One;1965
1966;The Lovely Bones;Alice Sebold;2002;The Lovely Bones;2009
1967;The Luck of Barry Lyndon;William Makepeace Thackeray;1844;Barry Lyndon;1975
1968;The Lucky One;Nicholas Sparks;2008;The Lucky One;2012
1969;Lydia Bailey;Kenneth Roberts;1947;Lydia Bailey;1952
1970;MacKenna's Gold;Henry Wilson Allen;1963;Mackenna's Gold;1969
1971;Madame Doubtfire;Anne Fine;1987;Mrs. Doubtfire;1994
1972;The Maddening;Andrew Neiderman;1987;The Maddening;1995
1973;The Magician;W. Somerset Maugham;1908;The Magician;1926
1974;Magnificent Obsession;Lloyd C. Douglas;1929;Magnificent Obsession;1935
1976;Make Room! Make Room!;Harry Harrison;1966;Soylent Green;1973
1977;The Maltese Falcon;Dashiell Hammett;1930;The Maltese Falcon;1931
1981;The Man Called Noon;Louis L'Amour;1970;The Man Called Noon;1973
1982;The Man in Black;Marvin H. Albert;1964;Rough Night in Jericho;1967
1983;The Man in the Gray Flannel Suit;Sloan Wilson;1955;The Man in the Gray Flannel Suit;1956
1984;The Man of Property;John Galsworthy;1906;That Forsyte Woman;1949
1985;Man on Fire;A. J. Quinnell;1980;Man on Fire;1987
1987;The Man Who Fell to Earth;Walter Tevis;1963;The Man Who Fell to Earth;1976
1989;The Man Who Never Was;Ewen Montagu;1954;The Man Who Never Was;1956
1990;The Man Who Watched the Trains Go By;Georges Simenon;1938;The Man Who Watched Trains Go By;1952
1991;The Man with the Golden Gun;Ian Fleming;1965;The Man with the Golden Gun;1974
1992;The Man Without a Face;Isabelle Holland;1972;The Man Without a Face;1993
1993;Man Without a Star;Lee Dinford;1952;Man Without a Star;1956
1995;The Manchurian Candidate;Richard Condon;1959;The Manchurian Candidate;1962
1997;Manhunt (人狩り);Haruhiko Oyabu;1962;Youth of the Beast (野獣の青春, Yajū no seishun);1963
1998;Marathon Man;William Goldman;1974;Marathon Man;1976
1999;Marnie;Winston Graham;1961;Marnie;1964
2000;Martin Eden;Jack London;1909;Martin Eden;1914
2003;Mary Poppins;P. L. Travers;1934;Mary Poppins;1964
2005;MASH: A Novel About Three Army Doctors;Richard Hooker;1968;M*A*S*H;1970
2006;Master of the World (French: Maître du monde);Jules Verne;1904;Master of the World;1961
2008;Matilda;Paul Gallico;1970;Matilda;1978
2009;Maurice;E. M. Forster;1971;Maurice;1987
2010;The Mayor of Casterbridge;Thomas Hardy;1886;The Mayor of Casterbridge;1921
2013;McTeague;Frank Norris;1899;McTeague;1916
2015;Me and Earl and the Dying Girl;Jesse Andrews;2012;Me and Earl and the Dying Girl;2015
2016;The Medusa Touch;Peter Van Greenaway;1973;The Medusa Touch;1978
2017;Meet Me in St. Louis;Sally Benson;1942;Meet Me in St. Louis;1944
2018;Memoirs of an Invisible Man;H.F. Saint;1987;Memoirs of an Invisible Man;1992
2019;The Memoirs of Cleopatra;Margaret George;1997;Cleopatra;1999
2020;Memory;Donald E. Westlake;2010;The Actor;NaN
2021;The Mephisto Waltz;Fred Mustard Stewart;1969;The Mephisto Waltz;1971
2022;Mercy Island;Theodore Pratt;1941;Mercy Island;1941
2023;Merton of the Movies;Harry Leon Wilson;1919;Merton of the Movies;1924
2026;Message in a Bottle;Nicholas Sparks;1998;Message in a Bottle;1999
2027;Miami Mayhem;Marvin H. Albert;1960;Tony Rome;1967
2028;Midaq Alley (Arabic: زقاق المدق, romanized: Zuqāq al-Midaqq);Naguib Mahfouz;1947;Midaq Alley (Spanish: El callejón de los milagros);1995
2029;Midnight and Jeremiah;Sterling North;1943;So Dear to My Heart;1949
2030;A Midnight Clear;William Wharton;1982;A Midnight Clear;1992
2031;The Midwich Cuckoos;John Wyndham;1957;Village of the Damned;1960
2034;Mildred Pierce;James M. Cain;1941;Mildred Pierce;1945
2035;Millennium;John Varley;1983;Millennium;1989
2036;Millennium;Stieg Larsson;2005;The Girl with the Dragon Tattoo;2009
2040;Mine-Haha, or On the Bodily Education of Young Girls;Frank Wedekind;1903;Innocence;2004
2042;The Mirage (Arabic: السراب, romanized: Al-Sarab);Naguib Mahfouz;1961;The Mirage;1970
2043;The Mirror Crack'd from Side to Side;Agatha Christie;1962;The Mirror Crack'd;1980
2045;Les Misérables;Victor Hugo;1862;On the Barricade;1907
2095;Misery;Stephen King;1987;Misery;1990
2096;Miss Lonelyhearts;Nathanael West;1933;Advice to the Lovelorn;1933
2099;Moby-Dick;Herman Melville;1851;The Sea Beast;1926
2108;Moderato Cantabile;Marguerite Duras;1958;Seven Days... Seven Nights;1960
2109;The Molly Maguires;Arthur H. Lewis;1969;The Molly Maguires;1970
2110;Monkey in the Middle;Robert Syd Hopkins;1973;The Killer Elite;1975
2111;The Monster from Earth's End;Murray Leinster;1959;The Navy vs. the Night Monsters;1966
2112;Montana Rides Again;Max Brand;1934;Branded;1950
2113;The Moon and Sixpence;W. Somerset Maugham;1919;The Moon and Sixpence;1942
2114;Moonraker;Ian Fleming;1955;Moonraker;1979
2115;The Moon-Spinners;Mary Stewart;1962;The Moon-Spinners;1964
2116;The Moonstone;Wilkie Collins;1868;The Moonstone;1909
2120;Morpho Eugenia;A. S. Byatt;1992;Angels & Insects;1996
2121;The Mortal Instruments – Book One: City of Bones;Cassandra Clare;2007;The Mortal Instruments: City of Bones;2013
2122;The Mosquito Coast;Paul Theroux;1981;The Mosquito Coast;1986
2123;Mother Carey's Chickens;Kate Douglas Wiggin;1911;Mother Carey's Chickens;1938
2125;Mother Night;Kurt Vonnegut;1961;Mother Night;1996
2126;Mother of Mine (Finnish: Äideistä parhain);Heikki Hietamies;1999;Mother of Mine (Finnish: Äideistä parhain, Swedish: Den bästa av mödrar);2005
2127;A Mother's Gift;Britney Spears and Lynne Spears;2001;Brave New Girl;2004
2128;The Moving Target;Ross Macdonald;1949;Harper;1966
2129;Mr. Hobbs' Vacation;Edward Streeter;1954;Mr. Hobbs Takes a Vacation;1962
2130;Mr. Limpet;Theodore Pratt;1942;The Incredible Mr. Limpet;1964
2131;Mr. Winkle Goes to War;Theodore Pratt;1943;Mr. Winkle Goes to War;1944
2132;Mrs. Frisby and the Rats of NIMH;Robert C. O'Brien;1971;The Secret of NIMH;1982
2134;Mrs McGinty's Dead;Agatha Christie;1952;Murder Most Foul;1964
2135;Mud on the Stars;William Bradford Huie;1942;Wild River;1960
2136;A Mule for the Marquesa;Frank O'Rourke;1964;The Professionals;1966
2137;Murder in Amityville;Hans Holzer;1979;Amityville II: The Possession;1982
2138;Murder on the Orient Express;Agatha Christie;1934;Murder on the Orient Express;1974
2141;Murphy's Romance: A Novel;Max Schott;1980;Murphy's Romance;1985
2142;Mute Witness (1963), Robert L. Pike;Robert L. Pike (as Robert L. Fish);1963;Bullitt;1968
2143;My Ántonia;Willa Cather;1918;My Antonia;1995
2144;My Brother's Wife (Spanish: La mujer de mi hermano);Jaime Bayly;2002;My Brother's Wife;2005
2145;My Philadelphia Father;Anthony Joseph Drexel Biddle, Sr.;1955;The Happiest Millionaire;1967
2146;My Friend Flicka;Mary O'Hara;1941;My Friend Flicka;1943
2152;My Kingdom for a Woman;Ismet Regeila;1952;Abdulla the Great;1955
2153;My Reminiscences as a Cowboy;Frank Harris;1930;Cowboy;1968
2154;The Mystery of Edwin Drood;Charles Dickens;1870;The Mystery of Edwin Drood;1909
2158;The Mysterious Island (French: L'Île mystérieuse);Jules Verne;1874;The Mysterious Island;1929
2166;Mystic River;Dennis Lehane;2001;Mystic River;2003
2167;The Naked and the Dead;Norman Mailer;1948;The Naked and the Dead;1958
2168;The Naked Country;Morris West;1960;The Naked Country;1985
