ID;FictionWork;FictionWorkAuthor;FictionWorkYear;FirstFilmAdaptation;FilmAdaptationYear
270;Bad Girl;Viña Delmar;1928;Bad Girl;1931
271;The Bad Seed;William March;1954;The Bad Seed;1956
274;Baise-moi;Virginie Despentes;1993;Baise-moi;2000
275;The Bait;Dorothy Uhnak;1968;The Bait;1973
276;The Ballad of Cat Ballou;Roy Chanslor;1956;Cat Ballou;1965
277;The Ballad of the Flim-Flam Man;Guy Owen;1965;The Flim-Flam Man;1967
279;The Ballad of the Running Man;Shelley Smith;1961;The Running Man;1963
280;Balzac and the Little Chinese Seamstress (French: Balzac et la petite tailleuse chinoise);Dai Sijie;2000;Balzac and the Little Chinese Seamstress;2002
281;Band of Angels;Robert Penn Warren;1955;Band of Angels;1957
282;The Bandits of Bombay (Bengali: বোম্বাইয়ের বোম্বেটে, Bombaiyer Bombete);Satyajit Ray;1976;Bombaiyer Bombete;2003
283;Bank Shot;Donald E. Westlake;1972;Bank Shot;1974
284;Banner in the Sky;James Ramsey Ullman;1900;Third Man on the Mountain;1959
285;The Barefoot Mailman;Theodore Pratt;1943;The Barefoot Mailman;1951
286;Basil of Baker Street;Eve Titus;1958;The Great Mouse Detective;1986
287;Bastard Out of Carolina;Dorothy Allison;1992;Bastard Out of Carolina;1996
288;Battle Cry;Leon Uris;1953;Battle Cry;1955
289;The Battle of the Villa Fiorita;Rumer Godden;1963;The Battle of the Villa Fiorita;1965
290;Battle Royale (バトル・ロワイアル, Batoru Rowaiaru);Koushun Takami;1999;Battle Royale;2000
292;Battlefield Earth;L. Ron Hubbard;1982;Battlefield Earth;2000
293;Be Cool;Elmore Leonard;1999;Be Cool;2005
294;Be Ready with Bells and Drums;Elizabeth Kata;1961;A Patch of Blue;1965
295;Be Still, My Love;June Truesdell;1947;The Accused;1949
296;The Beach;Alex Garland;1996;The Beach;2000
297;Beaches;Iris Rainer Dart;1985;Beaches;1988
298;The Beardless Warriors;Richard Matheson;1960;The Young Warriors;1967
299;Beast;Peter Benchley;1991;The Beast;1996
300;The Beast in Man (French: La Bête humaine);Émile Zola;1890;Die Bestie im Menschen;1921
305;The Beast in the Heart (Italian: La bestia nel cuore);Cristina Comencini;2003;Don't Tell (Italian: La bestia nel cuore);2005
306;The Beast Master;Andre Norton;1959;The Beastmaster;1982
309;The Beast Must Die;Cecil Day-Lewis;1938;The Beast Must Die (Spanish: La bestia debe morir);1952
311;The Beast Within;Edward Levy;1981;The Beast Within;1982
312;Beat the Devil;Claud Cockburn;1951;Beat the Devil;1953
313;Beau Brocade;Baroness Emmuska Orczy;1907;Beau Brocade;1916
314;Beau Geste;P. C. Wren;1924;Beau Geste;1926
320;Beau Ideal;P. C. Wren;1927;NaN;NaN
322;Beautiful Creatures;Kami Garcia and Margaret Stohl;2009;Beautiful Creatures;2013
323;Bedelia;Vera Caspary;1945;Bedelia;1946
324;Bee Season;Myla Goldberg;2000;Bee Season;2005
325;Beer and Blood: The Story of a Couple o' Wrong Guys;John Bright and Kubec Glasmon;1930;The Public Enemy;1931
326;Before the Fact;Anthony Berkeley Cox;1932;Suspicion;1941
327;The Beginning and the End (Arabic: بداية ونهاية, romanized: Bidaya wa Nihaya);Naguib Mahfouz;1960;Bidaya wa Nihaya;1960
328;Behind That Curtain;Earl Derr Biggers;1928;Behind That Curtain;1929
329;Being There;Jerzy Kosinski;1971;Being There;1979
330;Bel-Ami;Guy de Maupassant;1885;Bel Ami;1939
334;Belle de Jour;Joseph Kessel;1928;Belle de Jour;1967
335;Belli Moda (Kannada: ಬೆಳ್ಳಿಮೋಡ);Anasuya Shankar;1961;Belli Moda;1967
337;Bellman and True;Desmond Lowden;1975;Bellman and True;1987
338;Beloved;Toni Morrison;1987;Beloved;1998
339;Belphégor;Arthur Bernède;1927;Belphégor - Le fantôme du Louvre;2001
340;Ben-Hur: A Tale of the Christ;Lew Wallace;1880;Ben-Hur;1925
344;Benjamin Blake;Edison Marshall;1941;Son of Fury: The Story of Benjamin Blake;1942
346;Beowulf;NaN;NaN;Beowulf;1999
349;Berlin Alexanderplatz;Alfred Döblin;1929;Berlin — Alexanderplatz;1931
351;The Betsy;Harold Robbins;1971;The Betsy;1978
352;Beyond the Forest: The Story of a Man and Woman Destroyed by Love;Stuart D. Engstrand;1948;Beyond the Forest;1949
353;Beyond This Place;A. J. Cronin;1953;Sabar Uparey;1955
358;The BFG;Roald Dahl;1982;The BFG;1989
360;Bhowani Junction;John Masters;1954;Bhowani Junction;1956
361;Bid Time Return;Richard Matheson;1975;Somewhere in Time;1980
362;The Bilingual Lover (Spanish: El amante bilingüe);Juan Marsé;1990;The Bilingual Lover;1993
363;The Big Bounce;NaN;NaN;The Big Bounce;1969
365;The Big Clock;Kenneth Fearing;1946;The Big Clock;1948
367;Big Fish: A Novel of Mythic Proportions;Daniel Wallace;1998;Big Fish;2003
368;The Big Fisherman;Lloyd C. Douglas;1948;The Big Fisherman;1959
369;The Big Heat;William P. McGivern;1952;The Big Heat;1953
370;Big Red;Jim Kjelgaard;1945;Big Red;1962
371;The Big Sleep;Raymond Chandler;1939;The Big Sleep;1946
373;Big Trouble;Dave Barry;1999;Big Trouble;2002
374;Biggles;W. E. Johns;1932;Biggles: Adventures in Time;1986
375;Billion-Dollar Brain;Len Deighton;1966;Billion Dollar Brain;1967
376;Billy Bathgate;E. L. Doctorow;1989;Billy Bathgate;1991
377;Billy Liar;Keith Waterhouse;1969;Billy Liar;1963
