ratingID,bookID,average_rating,ratings_count,text_reviews_count
995,3404,3.95,138,29
996,3409,4.19,99,16
997,3413,4.23,533,66
998,3416,4.37,5991,120
999,3417,4.25,5423,157
1000,3418,3.52,1182,175
1001,3419,3.67,39,7
1002,3420,3.95,3478,191
1003,3421,4.29,4291,119
1004,3422,4.11,311,49
1005,3424,4.3,9623,199
1006,3425,3.81,153,17
1007,3426,3.69,24,2
1008,3431,3.93,520051,16562
1009,3437,3.88,16588,1606
1010,3438,3.88,6124,754
1011,3439,3.88,34,6
1012,3444,3.29,981,69
1013,3445,3.95,7763,362
1014,3446,3.91,10384,637
1015,3447,3.78,14655,1211
1016,3449,3.45,945,61
1017,3462,4.11,154933,3141
1018,3463,4.03,125693,3229
1019,3464,3.8,68228,2425
1020,3465,4.03,36784,2658
1021,3466,3.99,126629,5295
1022,3468,4.15,31,3
1023,3469,3.84,1596,157
1024,3471,3.96,2755,218
1025,3473,4.17,555995,10173
1026,3476,3.7,37936,1192
1027,3478,3.96,201488,3496
1028,3479,3.98,1967,66
1029,3483,3.71,32370,4212
1030,3491,4.03,82,9
1031,3493,3.52,790,99
1032,3507,4.15,81381,1925
1033,3509,3.86,2792,73
1034,3510,4.08,317,33
1035,3513,3.85,51,7
1036,3516,3.77,41,7
1037,3519,3.54,56,7
1038,3520,3.43,26,5
1039,3525,4.06,612,8
1040,3529,4.59,641,63
1041,3530,4.09,715,18
1042,3531,4.08,364,21
1043,3532,3.78,5856,310
1044,3536,3.41,910,74
1045,3545,3.73,13,2
1046,3554,3.5,4,0
1047,3557,3.89,118,9
1048,3562,4.1,38411,1366
1049,3564,4.24,184,22
1050,3566,3.83,928,27
1051,3574,4.23,63,8
1052,3577,3.88,3760,248
1053,3579,4.43,98611,1447
1054,3580,3.9,6082,188
1055,3581,4.47,24087,554
1056,3582,4.64,1411,54
1057,3583,4.53,2203,32
1058,3584,4.22,2037,71
1059,3585,3.96,18,4
1060,3587,4.26,29,6
1061,3593,4.0,7,2
1062,3595,4.18,119,8
1063,3597,4.33,2184,87
1064,3599,3.5,12,1
1065,3603,3.77,114,15
1066,3604,3.77,925,92
1067,3631,3.38,948,27
1068,3635,4.26,5044,316
1069,3636,4.13,1585589,56604
1070,3638,3.83,2201,218
1071,3640,4.11,1760,135
1072,3649,3.56,1426,201
1073,3650,3.42,406,64
1074,3651,3.17,481,58
1075,3656,3.51,19308,1803
1076,3657,3.51,586,103
1077,3659,3.71,3202,278
1078,3660,3.66,387,29
1079,3661,3.65,583,60
1080,3664,3.66,974,81
1081,3665,3.61,33,3
1082,3679,3.73,53736,3657
1083,3682,3.79,189652,8207
1084,3684,3.37,130,16
1085,3685,3.96,208684,3358
1086,3686,3.94,31134,2662
1087,3687,4.11,170,21
1088,3688,4.17,1122,69
1089,3690,4.0,25490,1585
1090,3692,3.99,21842,891
1091,3693,3.46,2064,220
1092,3695,3.6,1139,70
1093,3698,3.97,37620,2298
1094,3701,3.98,295,22
1095,3705,3.77,1322,109
1096,3707,3.73,2910,220
1097,3710,3.16,9541,576
1098,3711,3.77,102370,5677
1099,3717,3.57,18210,629
1100,3731,4.04,424,13
1101,3732,3.77,12,3
1102,3733,4.2,1031,72
1103,3734,4.18,348,16
1104,3736,3.62,545,53
1105,3738,3.55,644,26
1106,3743,3.84,1360,52
1107,3744,3.8,1,0
1108,3750,3.74,15204,780
1109,3751,4.31,55,13
1110,3754,3.98,0,0
1111,3758,3.73,48961,2823
1112,3759,3.8,16055,639
1113,3762,3.96,14108,428
1114,3765,3.55,5074,211
1115,3768,3.8,572,43
1116,3769,3.92,1361,77
1117,3770,3.91,25,5
1118,3774,3.68,426,42
1119,3776,4.07,210,26
1120,3782,4.02,4461,158
1121,3784,4.0,1351,32
1122,3787,3.64,430,33
1123,3788,3.98,1059,38
1124,3797,4.27,913,66
1125,3798,3.95,377,54
1126,3799,4.01,1410,73
1127,3801,3.97,516,77
1128,3803,3.82,9,5
1129,3805,3.79,133237,7468
1130,3806,3.93,1094,87
1131,3815,3.91,6736,297
1132,3818,3.68,64,16
1133,3820,3.75,369,16
1134,3822,3.71,247,18
1135,3825,3.92,9847,516
1136,3826,3.81,10651,711
1137,3827,3.94,9258,330
1138,3828,3.99,8045,265
1139,3829,3.82,39,4
1140,3830,4.02,10304,374
1141,3831,3.93,495,76
1142,3832,3.93,26375,953
1143,3833,4.0,13801,335
1144,3834,3.68,3793,286
1145,3835,3.87,4956,705
1146,3836,3.87,160911,4087
1147,3837,3.87,71,5
1148,3840,3.87,393,40
1149,3841,3.87,275,14
1150,3842,3.61,21,2
1151,3848,4.0,41,11
1152,3849,4.19,1869,46
1153,3850,3.86,732,71
1154,3851,4.18,2025,41
1155,3852,4.13,3567,62
1156,3853,3.55,6214,270
1157,3858,3.53,15315,1101
1158,3859,4.01,292,35
1159,3867,3.92,110082,9777
1160,3869,4.17,239652,5860
1161,3870,4.21,352,37
1162,3871,4.03,1604,153
1163,3872,3.76,14820,1686
1164,3873,3.87,38915,1087
1165,3875,3.82,302,69
1166,3886,4.07,1816,22
1167,3895,4.15,28789,177
1168,3900,3.51,240,46
1169,3914,3.86,807,95
1170,3916,3.73,4,0
1171,3918,2.88,6,0
1172,3921,3.45,2168,233
1173,3938,4.24,174,14
1174,3939,4.2,237,15
1175,3940,3.45,232,9
1176,3966,4.42,141,11
1177,3967,4.2,21,1
1178,3968,4.17,29,1
1179,3972,3.94,13300,484
1180,3973,4.03,21973,905
1181,3974,4.07,31711,3317
1182,3975,3.75,953,61
1183,3976,3.84,734,44
1184,3977,4.17,38357,1111
1185,3978,3.6,6253,488
1186,3985,4.18,165862,9143
1187,3986,3.46,1097,105
1188,3997,4.25,1101,58
1189,4006,3.31,16483,685
1190,4008,3.61,47673,2046
1191,4009,4.19,112779,2897
1192,4014,3.94,50,6
1193,4023,3.82,844,76
1194,4031,3.7,24618,738
1195,4035,4.06,32337,272
1196,4043,3.6,4213,735
1197,4050,3.59,12,1
1198,4055,3.99,4372,81
1199,4060,3.79,141,5
1200,4066,4.08,38,4
1201,4069,4.36,282127,13449
1202,4070,4.36,391,44
1203,4075,4.1,3958,172
1204,4077,3.79,143,20
1205,4099,4.31,12563,699
1206,4100,3.96,840,63
1207,4104,3.93,832,118
1208,4106,4.42,62,4
1209,4108,3.92,36,1
1210,4117,3.9,1782,197
1211,4119,3.83,608,78
1212,4122,3.99,53749,509
1213,4135,3.88,37258,1401
1214,4140,3.68,6490,463
1215,4144,3.89,518,61
1216,4162,3.7,82,17
1217,4165,3.91,21,4
1218,4167,4.16,216,25
1219,4191,4.01,5642,265
1220,4200,3.77,4202,406
1221,4204,3.77,81,11
1222,4207,3.77,1265,142
1223,4216,3.93,6,0
1224,4221,2.98,34,2
1225,4223,3.84,3645,407
1226,4227,3.89,1192,143
1227,4232,3.71,60,8
1228,4241,3.83,710,22
