ID,FictionWork,FictionWorkAuthor,FictionWorkYear,FirstFilmAdaptation,FilmAdaptationYear,bookID
2837,Stardust,Neil Gaiman,1999.0,Stardust,2007.0,16793
2841,Starship Troopers,Robert A. Heinlein,1959.0,Starship Troopers,1997.0,17214
2866,Strangers on a Train,Patricia Highsmith,1950.0,Strangers on a Train,1951.0,15677
2870,Strip Tease,Carl Hiaasen,1993.0,Striptease,1996.0,13074
2874,The Sun Also Rises,Ernest Hemingway,1926.0,The Sun Also Rises,1957.0,3875
2898,A Tale of Two Cities,Charles Dickens,1859.0,A Tale of Two Cities,1917.0,1955
2965,The Terminal Man,Michael Crichton,1972.0,The Terminal Man,1974.0,7679
3065,The Time Traveler's Wife,Audrey Niffenegger,2003.0,The Time Traveler's Wife,2009.0,14046
3073,To Kill a Mockingbird,Harper Lee,1960.0,To Kill a Mockingbird,1962.0,2654
3093,Treasure Island,Robert Louis Stevenson,1883.0,Treasure Island,1918.0,295
3119,The Trial,Franz Kafka,1925.0,The Trial,1962.0,17690
3183,Vanity Fair,William Makepeace Thackeray,1847.0,Vanity Fair,1911.0,5797
3227,A Walk to Remember,Nicholas Sparks,1999.0,A Walk to Remember,2002.0,3473
3235,War and Peace,Leo Tolstoy,1869.0,War and Peace,1956.0,656
3251,Water for Elephants,Sara Gruen,2006.0,Water for Elephants,2011.0,43641
3268,What Dreams May Come,Richard Matheson,1978.0,What Dreams May Come,1998.0,33555
3285,White Fang,Jack London,1906.0,White Fang,1925.0,43035
3309,Wide Sargasso Sea,Jean Rhys,1966.0,Wide Sargasso Sea,1993.0,44595
3323,The Wind in the Willows,Kenneth Grahame,1908.0,The Adventures of Ichabod and Mr. Toad,1949.0,5659
3355,The Winter of Our Discontent,John Steinbeck,1961.0,The Winter of Our Discontent,1983.0,4796
3371,The Woman in Black,Susan Hill,1983.0,The Woman in Black,1989.0,37034
3418,Wuthering Heights,Emily Brontë,1847.0,Wuthering Heights,1939.0,6184
