id,bookID,authorID
392,702,1069
393,702,2509
394,703,8783
395,707,4211
396,759,3662
397,759,1428
398,759,7390
399,762,3662
400,763,3662
401,764,3662
402,765,3662
403,765,3610
404,766,3662
405,771,6399
406,775,4922
407,775,3835
408,787,4859
409,787,4679
410,787,2052
411,793,1415
412,793,8610
413,793,8557
414,797,1415
415,797,8610
416,797,2044
417,799,1415
418,799,3496
419,815,8918
420,816,7599
421,821,7599
422,822,7599
423,823,7599
424,824,7599
425,824,6047
426,826,7599
427,827,7599
428,827,6986
429,828,7599
430,828,77
431,828,4871
432,829,7599
433,830,7599
434,830,4390
435,834,6888
436,834,4288
437,835,6888
438,835,4288
439,840,4420
440,841,4420
441,842,4420
442,848,9137
443,848,4925
444,848,3486
445,864,8101
446,864,3287
447,864,4768
448,865,8101
449,865,3287
450,865,3784
451,866,1341
452,866,6543
453,868,1341
454,868,6543
455,869,1341
456,869,6543
457,870,1341
458,870,6543
459,871,1341
460,871,6543
461,872,8101
462,872,3287
463,872,1686
464,873,1341
465,873,6543
466,880,7985
467,888,7244
468,888,8662
469,890,2863
470,900,9006
471,902,1223
472,903,801
473,929,1345
474,930,1345
475,931,1345
476,932,7646
477,932,7783
478,932,7144
479,932,1345
480,933,1345
481,935,4084
482,935,4521
483,941,6817
484,941,5740
485,944,5120
486,944,2387
487,955,5370
488,960,7720
489,965,7720
490,966,7720
491,966,2881
492,968,7720
493,969,7720
494,972,7720
495,972,4008
496,975,7720
497,977,7720
498,980,7720
499,987,2263
500,998,8266
501,998,2663
502,1005,720
503,1007,720
504,1014,6574
505,1022,2525
506,1032,2421
507,1032,1559
508,1052,3593
509,1053,3593
510,1059,930
511,1059,3643
512,1067,4166
513,1068,4421
514,1068,4374
515,1073,8084
516,1078,4663
517,1090,6774
518,1097,1950
519,1099,1950
520,1103,3483
521,1110,1999
522,1111,7234
523,1117,7862
524,1120,8946
525,1120,799
526,1121,6284
527,1121,5851
528,1123,8946
529,1130,8675
530,1130,5275
531,1130,7186
532,1138,6847
533,1138,8494
534,1164,3529
535,1164,8671
536,1167,9203
537,1167,6649
538,1169,7110
539,1171,1683
540,1177,6621
541,1188,7333
542,1188,6632
543,1188,4213
544,1191,7842
545,1191,6454
546,1192,7842
547,1193,7842
548,1193,6454
549,1196,8447
550,1196,8293
551,1197,8447
552,1197,3755
553,1197,5278
554,1197,9035
555,1198,8447
556,1198,8293
557,1202,1314
558,1202,3986
559,1204,1314
560,1204,3986
561,1206,1314
562,1206,3986
563,1218,4642
564,1226,6750
565,1230,6750
566,1230,170
567,1230,7811
568,1234,5323
569,1241,7834
570,1242,1644
571,1243,6067
572,1243,246
573,1246,3720
574,1246,4114
575,1252,1663
576,1255,8461
577,1265,1953
578,1274,4020
579,1276,4020
580,1281,4020
581,1290,3991
582,1290,9205
583,1295,3579
584,1296,3579
585,1301,1683
586,1302,5468
587,1303,5982
588,1303,1035
589,1305,7048
590,1307,5297
591,1307,4634
592,1312,2862
593,1315,7048
594,1317,7048
595,1318,7048
596,1319,7048
597,1319,8216
598,1320,6474
599,1320,7048
600,1322,48
601,1322,7048
602,1326,7921
603,1326,937
604,1327,7921
605,1327,4609
606,1328,7921
607,1328,9153
608,1334,7921
609,1334,5145
610,1337,728
611,1337,7775
612,1337,4474
613,1338,7921
614,1338,961
615,1342,7921
616,1342,625
617,1351,7921
618,1351,9153
619,1354,7921
620,1354,937
621,1354,4161
622,1362,2566
623,1362,6564
624,1362,7676
625,1363,2566
626,1363,6564
627,1363,7676
628,1364,2566
629,1364,2292
630,1365,2566
631,1365,7431
632,1365,4609
633,1366,2566
634,1366,6564
635,1366,906
636,1367,2566
637,1367,544
638,1367,467
639,1368,2566
640,1368,5358
641,1368,8209
642,1368,8525
643,1369,2566
644,1369,113
645,1371,1836
646,1371,4380
647,1371,3359
648,1373,1836
649,1373,5645
650,1373,1479
651,1374,1836
652,1374,5938
653,1374,4456
654,1375,1836
655,1375,4380
656,1375,3359
657,1376,1836
658,1376,3981
659,1376,5266
660,1376,7031
661,1377,1836
662,1377,2113
663,1378,1836
664,1378,1479
665,1378,5645
666,1381,1836
667,1381,4380
668,1381,3359
669,1382,1836
670,1382,5938
671,1382,7283
672,1383,1836
673,1383,6613
674,1384,1836
675,1384,3981
676,1384,5266
677,1384,7031
678,1387,1836
679,1387,2113
680,1391,8096
681,1391,4854
682,1402,8096
683,1402,7514
684,1402,1821
685,1403,7592
686,1405,8096
687,1405,8885
688,1408,7556
689,1417,5448
690,1417,4162
691,1417,5845
692,1419,5448
693,1420,5448
694,1420,5822
695,1420,7363
696,1423,4300
697,1423,2559
698,1423,8686
699,1423,405
700,1424,8101
701,1424,3287
702,1425,8101
703,1425,3287
704,1426,8101
705,1427,8101
706,1427,841
707,1428,8101
